conversation_id,scenario,layer,cka,baseline
T1/test/14,T1,11,0.29710805,cka
T1/test/15,T1,0,0.82130027,cka
T1/test/15,T1,1,0.8571409,cka
T1/test/15,T1,2,0.856674,cka
T1/test/15,T1,3,0.81607914,cka
T1/test/15,T1,4,0.75803643,cka
T1/test/15,T1,5,0.6467985,cka
T1/test/15,T1,6,0.5413996,cka
T1/test/15,T1,7,0.47335294,cka
T1/test/15,T1,8,0.3375393,cka
T1/test/15,T1,9,0.23353167,cka
T1/test/15,T1,10,0.17528735,cka
T1/test/15,T1,11,0.29710805,cka
T1/test/16,T1,0,0.6628624,cka
T1/test/16,T1,1,0.7342881,cka
T1/test/16,T1,2,0.78558725,cka
T1/test/16,T1,3,0.77147496,cka
T1/test/16,T1,4,0.7381267,cka
T1/test/16,T1,5,0.64570934,cka
T1/test/16,T1,6,0.52719593,cka
T1/test/16,T1,7,0.45219028,cka
T1/test/16,T1,8,0.3305118,cka
T1/test/16,T1,9,0.24335848,cka
T1/test/16,T1,10,0.18525098,cka
T1/test/16,T1,11,0.1980429,cka
T1/test/17,T1,0,0.8390891,cka
T1/test/17,T1,1,0.8808523,cka
T1/test/17,T1,2,0.86913997,cka
T1/test/17,T1,3,0.8389689,cka
T1/test/17,T1,4,0.79245585,cka
T1/test/17,T1,5,0.6778468,cka
T1/test/17,T1,6,0.5844095,cka
T1/test/17,T1,7,0.5288253,cka
T1/test/17,T1,8,0.4543334,cka
T1/test/17,T1,9,0.40446103,cka
T1/test/17,T1,10,0.37702405,cka
T1/test/17,T1,11,0.5773742,cka
T1/test/18,T1,0,0.67847914,cka
T1/test/18,T1,1,0.7662325,cka
T1/test/18,T1,2,0.79674065,cka
T1/test/18,T1,3,0.78586495,cka
T1/test/18,T1,4,0.75247115,cka
T1/test/18,T1,5,0.6313684,cka
T1/test/18,T1,6,0.54721045,cka
T1/test/18,T1,7,0.5091372,cka
T1/test/18,T1,8,0.45372722,cka
T1/test/18,T1,9,0.36167488,cka
T1/test/18,T1,10,0.32098117,cka
T1/test/18,T1,11,0.47943035,cka
T1/test/19,T1,0,0.7076836,cka
T1/test/19,T1,1,0.7772411,cka
T1/test/19,T1,2,0.7958871,cka
T1/test/19,T1,3,0.7708217,cka
T1/test/19,T1,4,0.70327497,cka
T1/test/19,T1,5,0.60624695,cka
T1/test/19,T1,6,0.4396827,cka
T1/test/19,T1,7,0.38701397,cka
T1/test/19,T1,8,0.25124526,cka
T1/test/19,T1,9,0.13449949,cka
T1/test/19,T1,10,0.0792183,cka
T1/test/19,T1,11,0.116165124,cka
T1/test/20,T1,0,0.6628624,cka
T1/test/20,T1,1,0.7342881,cka
T1/test/20,T1,2,0.78558725,cka
T1/test/20,T1,3,0.77147496,cka
T1/test/20,T1,4,0.7381267,cka
T1/test/20,T1,5,0.64570934,cka
T1/test/20,T1,6,0.52719593,cka
T1/test/20,T1,7,0.45219028,cka
T1/test/20,T1,8,0.3305118,cka
T1/test/20,T1,9,0.24335848,cka
T1/test/20,T1,10,0.18525098,cka
T1/test/20,T1,11,0.1980429,cka
T1/test/21,T1,0,0.7079348,cka
T1/test/21,T1,1,0.7597916,cka
T1/test/21,T1,2,0.789401,cka
T1/test/21,T1,3,0.7674666,cka
T1/test/21,T1,4,0.71393037,cka
T1/test/21,T1,5,0.60967,cka
T1/test/21,T1,6,0.43101138,cka
T1/test/21,T1,7,0.35705832,cka
T1/test/21,T1,8,0.20779978,cka
T1/test/21,T1,9,0.104315296,cka
T1/test/21,T1,10,0.038100734,cka
T1/test/21,T1,11,0.0057692793,cka
T1/test/22,T1,0,0.8390891,cka
T1/test/22,T1,1,0.8808523,cka
T1/test/22,T1,2,0.86913997,cka
T1/test/22,T1,3,0.8389689,cka
T1/test/22,T1,4,0.79245585,cka
T1/test/22,T1,5,0.6778468,cka
T1/test/22,T1,6,0.5844095,cka
T1/test/22,T1,7,0.5288253,cka
T1/test/22,T1,8,0.4543334,cka
T1/test/22,T1,9,0.40446103,cka
T1/test/22,T1,10,0.37702405,cka
T1/test/22,T1,11,0.5773742,cka
T1/test/23,T1,0,0.67847914,cka
T1/test/23,T1,1,0.7662325,cka
T1/test/23,T1,2,0.79674065,cka
T1/test/23,T1,3,0.78586495,cka
T1/test/23,T1,4,0.75247115,cka
T1/test/23,T1,5,0.6313684,cka
T1/test/23,T1,6,0.54721045,cka
T1/test/23,T1,7,0.5091372,cka
T1/test/23,T1,8,0.45372722,cka
T1/test/23,T1,9,0.36167488,cka
T1/test/23,T1,10,0.32098117,cka
T1/test/23,T1,11,0.47943035,cka
T1/test/24,T1,0,0.67847914,cka
T1/test/24,T1,1,0.7662325,cka
T1/test/24,T1,2,0.79674065,cka
T1/test/24,T1,3,0.78586495,cka
T1/test/24,T1,4,0.75247115,cka
T1/test/24,T1,5,0.6313684,cka
T1/test/24,T1,6,0.54721045,cka
T1/test/24,T1,7,0.5091372,cka
T1/test/24,T1,8,0.45372722,cka
T1/test/24,T1,9,0.36167488,cka
T1/test/24,T1,10,0.32098117,cka
T1/test/24,T1,11,0.47943035,cka
T1/test/25,T1,0,0.7076836,cka
T1/test/25,T1,1,0.7772411,cka
T1/test/25,T1,2,0.7958871,cka
T1/test/25,T1,3,0.7708217,cka
T1/test/25,T1,4,0.70327497,cka
T1/test/25,T1,5,0.60624695,cka
T1/test/25,T1,6,0.4396827,cka
T1/test/25,T1,7,0.38701397,cka
T1/test/25,T1,8,0.25124526,cka
T1/test/25,T1,9,0.13449949,cka
T1/test/25,T1,10,0.0792183,cka
T1/test/25,T1,11,0.116165124,cka
T1/test/26,T1,0,0.6628624,cka
T1/test/26,T1,1,0.7342881,cka
T1/test/26,T1,2,0.78558725,cka
T1/test/26,T1,3,0.77147496,cka
T1/test/26,T1,4,0.7381267,cka
T1/test/26,T1,5,0.64570934,cka
T1/test/26,T1,6,0.52719593,cka
T1/test/26,T1,7,0.45219028,cka
T1/test/26,T1,8,0.3305118,cka
T1/test/26,T1,9,0.24335848,cka
T1/test/26,T1,10,0.18525098,cka
T1/test/26,T1,11,0.1980429,cka
T1/test/27,T1,0,0.82130027,cka
T1/test/27,T1,1,0.8571409,cka
T1/test/27,T1,2,0.856674,cka
T1/test/27,T1,3,0.81607914,cka
T1/test/27,T1,4,0.75803643,cka
T1/test/27,T1,5,0.6467985,cka
T1/test/27,T1,6,0.5413996,cka
T1/test/27,T1,7,0.47335294,cka
T1/test/27,T1,8,0.3375393,cka
T1/test/27,T1,9,0.23353167,cka
T1/test/27,T1,10,0.17528735,cka
T1/test/27,T1,11,0.29710805,cka
T1/test/28,T1,0,0.82130027,cka
T1/test/28,T1,1,0.8571409,cka
T1/test/28,T1,2,0.856674,cka
T1/test/28,T1,3,0.81607914,cka
T1/test/28,T1,4,0.75803643,cka
T1/test/28,T1,5,0.6467985,cka
T1/test/28,T1,6,0.5413996,cka
T1/test/28,T1,7,0.47335294,cka
T1/test/28,T1,8,0.3375393,cka
T1/test/28,T1,9,0.23353167,cka
T1/test/28,T1,10,0.17528735,cka
T1/test/28,T1,11,0.29710805,cka
T1/test/29,T1,0,0.7079348,cka
T1/test/29,T1,1,0.7597916,cka
T1/test/29,T1,2,0.789401,cka
T1/test/29,T1,3,0.7674666,cka
T1/test/29,T1,4,0.71393037,cka
T1/test/29,T1,5,0.60967,cka
T1/test/29,T1,6,0.43101138,cka
T1/test/29,T1,7,0.35705832,cka
T1/test/29,T1,8,0.20779978,cka
T1/test/29,T1,9,0.104315296,cka
T1/test/29,T1,10,0.038100734,cka
T1/test/29,T1,11,0.0057692793,cka
T2/test/0,T2,0,0.8152998,cka
T2/test/0,T2,1,0.8641917,cka
T2/test/0,T2,2,0.87642777,cka
T2/test/0,T2,3,0.8592112,cka
T2/test/0,T2,4,0.82337767,cka
T2/test/0,T2,5,0.7279982,cka
T2/test/0,T2,6,0.62675667,cka
T2/test/0,T2,7,0.5894097,cka
T2/test/0,T2,8,0.5218193,cka
T2/test/0,T2,9,0.46121278,cka
T2/test/0,T2,10,0.41522676,cka
T2/test/0,T2,11,0.64140594,cka
T2/test/1,T2,0,0.7627744,cka
T2/test/1,T2,1,0.8103205,cka
T2/test/1,T2,2,0.83826596,cka
T2/test/1,T2,3,0.8090102,cka
T2/test/1,T2,4,0.7540044,cka
T2/test/1,T2,5,0.6529755,cka
T2/test/1,T2,6,0.5600701,cka
T2/test/1,T2,7,0.5100145,cka
T2/test/1,T2,8,0.43603578,cka
T2/test/1,T2,9,0.34904414,cka
T2/test/1,T2,10,0.3316443,cka
T2/test/1,T2,11,0.2945467,cka
T2/test/2,T2,0,0.7627744,cka
T2/test/2,T2,1,0.8103205,cka
T2/test/2,T2,2,0.83826596,cka
T2/test/2,T2,3,0.8090102,cka
T2/test/2,T2,4,0.7540044,cka
T2/test/2,T2,5,0.6529755,cka
T2/test/2,T2,6,0.5600701,cka
T2/test/2,T2,7,0.5100145,cka
T2/test/2,T2,8,0.43603578,cka
T2/test/2,T2,9,0.34904414,cka
T2/test/2,T2,10,0.3316443,cka
T2/test/2,T2,11,0.2945467,cka
T2/test/3,T2,0,0.71464854,cka
T2/test/3,T2,1,0.80500096,cka
T2/test/3,T2,2,0.82575536,cka
T2/test/3,T2,3,0.7877889,cka
T2/test/3,T2,4,0.7436196,cka
T2/test/3,T2,5,0.6436359,cka
T2/test/3,T2,6,0.5484501,cka
T2/test/3,T2,7,0.5140732,cka
T2/test/3,T2,8,0.48312655,cka
T2/test/3,T2,9,0.41479918,cka
T2/test/3,T2,10,0.41567636,cka
T2/test/3,T2,11,0.7549807,cka
T2/test/4,T2,0,0.71748775,cka
T2/test/4,T2,1,0.806662,cka
T2/test/4,T2,2,0.8331218,cka
T2/test/4,T2,3,0.821227,cka
T2/test/4,T2,4,0.7789224,cka
T2/test/4,T2,5,0.69615895,cka
T2/test/4,T2,6,0.5782471,cka
T2/test/4,T2,7,0.53373027,cka
T2/test/4,T2,8,0.41601408,cka
T2/test/4,T2,9,0.3158191,cka
T2/test/4,T2,10,0.22949119,cka
T2/test/4,T2,11,0.22923613,cka
T2/test/5,T2,0,0.8152998,cka
T2/test/5,T2,1,0.8641917,cka
T2/test/5,T2,2,0.87642777,cka
T2/test/5,T2,3,0.8592112,cka
T2/test/5,T2,4,0.82337767,cka
T2/test/5,T2,5,0.7279982,cka
T2/test/5,T2,6,0.62675667,cka
T2/test/5,T2,7,0.5894097,cka
T2/test/5,T2,8,0.5218193,cka
T2/test/5,T2,9,0.46121278,cka
T2/test/5,T2,10,0.41522676,cka
T2/test/5,T2,11,0.64140594,cka
T2/test/6,T2,0,0.8152998,cka
T2/test/6,T2,1,0.8641917,cka
T2/test/6,T2,2,0.87642777,cka
T2/test/6,T2,3,0.8592112,cka
T2/test/6,T2,4,0.82337767,cka
T2/test/6,T2,5,0.7279982,cka
T2/test/6,T2,6,0.62675667,cka
T2/test/6,T2,7,0.5894097,cka
T2/test/6,T2,8,0.5218193,cka
T2/test/6,T2,9,0.46121278,cka
T2/test/6,T2,10,0.41522676,cka
T2/test/6,T2,11,0.64140594,cka
T2/test/7,T2,0,0.7627744,cka
T2/test/7,T2,1,0.8103205,cka
T2/test/7,T2,2,0.83826596,cka
T2/test/7,T2,3,0.8090102,cka
T2/test/7,T2,4,0.7540044,cka
T2/test/7,T2,5,0.6529755,cka
T2/test/7,T2,6,0.5600701,cka
T2/test/7,T2,7,0.5100145,cka
T2/test/7,T2,8,0.43603578,cka
T2/test/7,T2,9,0.34904414,cka
T2/test/7,T2,10,0.3316443,cka
T2/test/7,T2,11,0.2945467,cka
T2/test/8,T2,0,0.788589,cka
T2/test/8,T2,1,0.8466471,cka
T2/test/8,T2,2,0.85904956,cka
T2/test/8,T2,3,0.8124457,cka
T2/test/8,T2,4,0.7498961,cka
T2/test/8,T2,5,0.6417387,cka
T2/test/8,T2,6,0.5362424,cka
T2/test/8,T2,7,0.47136885,cka
T2/test/8,T2,8,0.4159139,cka
T2/test/8,T2,9,0.308569,cka
T2/test/8,T2,10,0.22673303,cka
T2/test/8,T2,11,0.26019973,cka
T2/test/9,T2,0,0.7836058,cka
T2/test/9,T2,1,0.8351829,cka
T2/test/9,T2,2,0.8549523,cka
T2/test/9,T2,3,0.83363277,cka
T2/test/9,T2,4,0.78312045,cka
T2/test/9,T2,5,0.6898604,cka
T2/test/9,T2,6,0.6053523,cka
T2/test/9,T2,7,0.53676015,cka
T2/test/9,T2,8,0.4703426,cka
T2/test/9,T2,9,0.40549162,cka
T2/test/9,T2,10,0.38306633,cka
T2/test/9,T2,11,0.6405385,cka
T2/test/10,T2,0,0.71748775,cka
T2/test/10,T2,1,0.806662,cka
T2/test/10,T2,2,0.8331218,cka
T2/test/10,T2,3,0.821227,cka
T2/test/10,T2,4,0.7789224,cka
T2/test/10,T2,5,0.69615895,cka
T2/test/10,T2,6,0.5782471,cka
T2/test/10,T2,7,0.53373027,cka
T2/test/10,T2,8,0.41601408,cka
T2/test/10,T2,9,0.3158191,cka
T2/test/10,T2,10,0.22949119,cka
T2/test/10,T2,11,0.22923613,cka
T2/test/11,T2,0,0.7836058,cka
T2/test/11,T2,1,0.8351829,cka
T2/test/11,T2,2,0.8549523,cka
T2/test/11,T2,3,0.83363277,cka
T2/test/11,T2,4,0.78312045,cka
T2/test/11,T2,5,0.6898604,cka
T2/test/11,T2,6,0.6053523,cka
T2/test/11,T2,7,0.53676015,cka
T2/test/11,T2,8,0.4703426,cka
T2/test/11,T2,9,0.40549162,cka
T2/test/11,T2,10,0.38306633,cka
T2/test/11,T2,11,0.6405385,cka
T2/test/12,T2,0,0.8152998,cka
T2/test/12,T2,1,0.8641917,cka
T2/test/12,T2,2,0.87642777,cka
T2/test/12,T2,3,0.8592112,cka
T2/test/12,T2,4,0.82337767,cka
T2/test/12,T2,5,0.7279982,cka
T2/test/12,T2,6,0.62675667,cka
T2/test/12,T2,7,0.5894097,cka
T2/test/12,T2,8,0.5218193,cka
T2/test/12,T2,9,0.46121278,cka
T2/test/12,T2,10,0.41522676,cka
T2/test/12,T2,11,0.64140594,cka
T2/test/13,T2,0,0.788589,cka
T2/test/13,T2,1,0.8466471,cka
T2/test/13,T2,2,0.85904956,cka
T2/test/13,T2,3,0.8124457,cka
T2/test/13,T2,4,0.7498961,cka
T2/test/13,T2,5,0.6417387,cka
T2/test/13,T2,6,0.5362424,cka
T2/test/13,T2,7,0.47136885,cka
T2/test/13,T2,8,0.4159139,cka
T2/test/13,T2,9,0.308569,cka
T2/test/13,T2,10,0.22673303,cka
T2/test/13,T2,11,0.26019973,cka
T2/test/14,T2,0,0.8152998,cka
T2/test/14,T2,1,0.8641917,cka
T2/test/14,T2,2,0.87642777,cka
T2/test/14,T2,3,0.8592112,cka
T2/test/14,T2,4,0.82337767,cka
T2/test/14,T2,5,0.7279982,cka
T2/test/14,T2,6,0.62675667,cka
T2/test/14,T2,7,0.5894097,cka
T2/test/14,T2,8,0.5218193,cka
T2/test/14,T2,9,0.46121278,cka
T2/test/14,T2,10,0.41522676,cka
T2/test/14,T2,11,0.64140594,cka
T2/test/15,T2,0,0.8152998,cka
T2/test/15,T2,1,0.8641917,cka
T2/test/15,T2,2,0.87642777,cka
T2/test/15,T2,3,0.8592112,cka
T2/test/15,T2,4,0.82337767,cka
T2/test/15,T2,5,0.7279982,cka
T2/test/15,T2,6,0.62675667,cka
T2/test/15,T2,7,0.5894097,cka
T2/test/15,T2,8,0.5218193,cka
T2/test/15,T2,9,0.46121278,cka
T2/test/15,T2,10,0.41522676,cka
T2/test/15,T2,11,0.64140594,cka
T2/test/16,T2,0,0.71748775,cka
T2/test/16,T2,1,0.806662,cka
T2/test/16,T2,2,0.8331218,cka
T2/test/16,T2,3,0.821227,cka
T2/test/16,T2,4,0.7789224,cka
T2/test/16,T2,5,0.69615895,cka
T2/test/16,T2,6,0.5782471,cka
T2/test/16,T2,7,0.53373027,cka
T2/test/16,T2,8,0.41601408,cka
T2/test/16,T2,9,0.3158191,cka
T2/test/16,T2,10,0.22949119,cka
T2/test/16,T2,11,0.22923613,cka
T2/test/17,T2,0,0.7836058,cka
T2/test/17,T2,1,0.8351829,cka
T2/test/17,T2,2,0.8549523,cka
T2/test/17,T2,3,0.83363277,cka
T2/test/17,T2,4,0.78312045,cka
T2/test/17,T2,5,0.6898604,cka
T2/test/17,T2,6,0.6053523,cka
T2/test/17,T2,7,0.53676015,cka
T2/test/17,T2,8,0.4703426,cka
T2/test/17,T2,9,0.40549162,cka
T2/test/17,T2,10,0.38306633,cka
T2/test/17,T2,11,0.6405385,cka
T2/test/18,T2,0,0.7627744,cka
T2/test/18,T2,1,0.8103205,cka
T2/test/18,T2,2,0.83826596,cka
T2/test/18,T2,3,0.8090102,cka
T2/test/18,T2,4,0.7540044,cka
T2/test/18,T2,5,0.6529755,cka
T2/test/18,T2,6,0.5600701,cka
T2/test/18,T2,7,0.5100145,cka
T2/test/18,T2,8,0.43603578,cka
T2/test/18,T2,9,0.34904414,cka
T2/test/18,T2,10,0.3316443,cka
T2/test/18,T2,11,0.2945467,cka
T2/test/19,T2,0,0.71464854,cka
T2/test/19,T2,1,0.80500096,cka
T2/test/19,T2,2,0.82575536,cka
T2/test/19,T2,3,0.7877889,cka
T2/test/19,T2,4,0.7436196,cka
T2/test/19,T2,5,0.6436359,cka
T2/test/19,T2,6,0.5484501,cka
T2/test/19,T2,7,0.5140732,cka
T2/test/19,T2,8,0.48312655,cka
T2/test/19,T2,9,0.41479918,cka
T2/test/19,T2,10,0.41567636,cka
T2/test/19,T2,11,0.7549807,cka
T2/test/20,T2,0,0.71748775,cka
T2/test/20,T2,1,0.806662,cka
T2/test/20,T2,2,0.8331218,cka
T2/test/20,T2,3,0.821227,cka
T2/test/20,T2,4,0.7789224,cka
T2/test/20,T2,5,0.69615895,cka
T2/test/20,T2,6,0.5782471,cka
T2/test/20,T2,7,0.53373027,cka
T2/test/20,T2,8,0.41601408,cka
T2/test/20,T2,9,0.3158191,cka
T2/test/20,T2,10,0.22949119,cka
T2/test/20,T2,11,0.22923613,cka
T2/test/21,T2,0,0.788589,cka
T2/test/21,T2,1,0.8466471,cka
T2/test/21,T2,2,0.85904956,cka
T2/test/21,T2,3,0.8124457,cka
T2/test/21,T2,4,0.7498961,cka
T2/test/21,T2,5,0.6417387,cka
T2/test/21,T2,6,0.5362424,cka
T2/test/21,T2,7,0.47136885,cka
T2/test/21,T2,8,0.4159139,cka
T2/test/21,T2,9,0.308569,cka
T2/test/21,T2,10,0.22673303,cka
T2/test/21,T2,11,0.26019973,cka
T2/test/22,T2,0,0.7836058,cka
T2/test/22,T2,1,0.8351829,cka
T2/test/22,T2,2,0.8549523,cka
T2/test/22,T2,3,0.83363277,cka
T2/test/22,T2,4,0.78312045,cka
T2/test/22,T2,5,0.6898604,cka
T2/test/22,T2,6,0.6053523,cka
T2/test/22,T2,7,0.53676015,cka
T2/test/22,T2,8,0.4703426,cka
T2/test/22,T2,9,0.40549162,cka
T2/test/22,T2,10,0.38306633,cka
T2/test/22,T2,11,0.6405385,cka
T2/test/23,T2,0,0.7627744,cka
T2/test/23,T2,1,0.8103205,cka
T2/test/23,T2,2,0.83826596,cka
T2/test/23,T2,3,0.8090102,cka
T2/test/23,T2,4,0.7540044,cka
T2/test/23,T2,5,0.6529755,cka
T2/test/23,T2,6,0.5600701,cka
T2/test/23,T2,7,0.5100145,cka
T2/test/23,T2,8,0.43603578,cka
T2/test/23,T2,9,0.34904414,cka
T2/test/23,T2,10,0.3316443,cka
T2/test/23,T2,11,0.2945467,cka
T2/test/24,T2,0,0.7627744,cka
T2/test/24,T2,1,0.8103205,cka
T2/test/24,T2,2,0.83826596,cka
T2/test/24,T2,3,0.8090102,cka
T2/test/24,T2,4,0.7540044,cka
T2/test/24,T2,5,0.6529755,cka
T2/test/24,T2,6,0.5600701,cka
T2/test/24,T2,7,0.5100145,cka
T2/test/24,T2,8,0.43603578,cka
T2/test/24,T2,9,0.34904414,cka
T2/test/24,T2,10,0.3316443,cka
T2/test/24,T2,11,0.2945467,cka
T2/test/25,T2,0,0.71464854,cka
T2/test/25,T2,1,0.80500096,cka
T2/test/25,T2,2,0.82575536,cka
T2/test/25,T2,3,0.7877889,cka
T2/test/25,T2,4,0.7436196,cka
T2/test/25,T2,5,0.6436359,cka
T2/test/25,T2,6,0.5484501,cka
T2/test/25,T2,7,0.5140732,cka
T2/test/25,T2,8,0.48312655,cka
T2/test/25,T2,9,0.41479918,cka
T2/test/25,T2,10,0.41567636,cka
T2/test/25,T2,11,0.7549807,cka
T2/test/26,T2,0,0.71748775,cka
T2/test/26,T2,1,0.806662,cka
T2/test/26,T2,2,0.8331218,cka
T2/test/26,T2,3,0.821227,cka
T2/test/26,T2,4,0.7789224,cka
T2/test/26,T2,5,0.69615895,cka
T2/test/26,T2,6,0.5782471,cka
T2/test/26,T2,7,0.53373027,cka
T2/test/26,T2,8,0.41601408,cka
T2/test/26,T2,9,0.3158191,cka
T2/test/26,T2,10,0.22949119,cka
T2/test/26,T2,11,0.22923613,cka
T2/test/27,T2,0,0.8152998,cka
T2/test/27,T2,1,0.8641917,cka
T2/test/27,T2,2,0.87642777,cka
T2/test/27,T2,3,0.8592112,cka
T2/test/27,T2,4,0.82337767,cka
T2/test/27,T2,5,0.7279982,cka
T2/test/27,T2,6,0.62675667,cka
T2/test/27,T2,7,0.5894097,cka
T2/test/27,T2,8,0.5218193,cka
T2/test/27,T2,9,0.46121278,cka
T2/test/27,T2,10,0.41522676,cka
T2/test/27,T2,11,0.64140594,cka
T2/test/28,T2,0,0.8152998,cka
T2/test/28,T2,1,0.8641917,cka
T2/test/28,T2,2,0.87642777,cka
T2/test/28,T2,3,0.8592112,cka
T2/test/28,T2,4,0.82337767,cka
T2/test/28,T2,5,0.7279982,cka
T2/test/28,T2,6,0.62675667,cka
T2/test/28,T2,7,0.5894097,cka
T2/test/28,T2,8,0.5218193,cka
T2/test/28,T2,9,0.46121278,cka
T2/test/28,T2,10,0.41522676,cka
T2/test/28,T2,11,0.64140594,cka
T2/test/29,T2,0,0.788589,cka
T2/test/29,T2,1,0.8466471,cka
T2/test/29,T2,2,0.85904956,cka
T2/test/29,T2,3,0.8124457,cka
T2/test/29,T2,4,0.7498961,cka
T2/test/29,T2,5,0.6417387,cka
T2/test/29,T2,6,0.5362424,cka
T2/test/29,T2,7,0.47136885,cka
T2/test/29,T2,8,0.4159139,cka
T2/test/29,T2,9,0.308569,cka
